variable,count,mean,std,min,p25,median,p75,max
eligibility_rate,6323,0.6291230195191617,0.18355536792877597,0.0,0.5099407114624506,0.6439024390243903,0.7575757575757576,1.0
recipient_rate,6323,0.4188011403793499,0.2060731801249041,0.0,0.26103179753406874,0.4361233480176211,0.5714285714285714,0.9615384615384616
acceptance_rate,6318,0.6407615578578002,0.21300198503186374,0.0,0.5384615384615384,0.6896551724137931,0.7978317362351794,1.0
students_processed,6323,103.61426538035742,83.43964680445414,20.0,40.0,75.0,142.0,522.0
exposure_index_pointmax,6323,0.35446177732789064,0.3444927478462928,0.0548628503733412,0.12108950857920335,0.2214972273647234,0.482046060268702,2.772690614151059
exposure_index_stormmax,6323,0.5815328671149663,0.6115385621229488,0.0584428281807865,0.1426301642404087,0.3287062089836611,0.8290491891583713,4.884451074169165
exposure_pointmax_z,6323,-2.3823352835859757e-16,1.0000790857686397,-0.8697501553781855,-0.677490967902975,-0.3860025106425005,0.37038333561327874,7.020235112143887
min_distance_any_tropical_km,6323,293.6482227922614,266.2965717414273,2.638724996946195,75.95094876731609,189.76516767927487,487.6833065055049,1181.0134636284954
min_distance_hurricane_km,6323,657.6079560038484,575.3218869352518,6.391584925190018,203.131708234722,493.6423643714575,948.4089563537932,2624.639501550069
within_50km_hurricane,6323,0.03273762454531077,0.17796314596631307,0.0,0.0,0.0,0.0,1.0
within_100km_hurricane,6323,0.10153408192313775,0.3020585073894209,0.0,0.0,0.0,0.0,1.0
within_50km_major_hurricane,6323,0.008540249881385418,0.0920252864944323,0.0,0.0,0.0,0.0,1.0
